	total	unique	rate	sampling_rate	check
SRR8096268_HEK293T_HEK293T	16099213	2507388	0.155745998	11.96464209	30000000
SRR8096267_HEK293T_HEK293T	15604020	2509377	0.160816059	11.95515859	30000000
SRR8096262_HEK293T_HEK293T	18320254	2611045	0.142522314	11.48965261	30000000
SRR8096263_HEK293T_HEK293T	17523044	2995039	0.170920018	10.01656406	30000000
SRR8096269_HEK293T_HEK293T	20050212	3103611	0.154791929	9.666159838	30000000
SRR8096266_HEK293T_HEK293T	18056147	3170463	0.175589122	9.462340358	30000000
SRR8096261_HEK293T_HEK293T	17891709	3284294	0.183565136	9.134383219	30000000
SRR8096265_HEK293T_HEK293T	20971712	3707777	0.176798966	8.091101487	30000000
SRR8096264_HEK293T_HEK293T	21792211	3725874	0.170972739	8.051802074	30000000
1000005_RFR006_S6	18303435	13690442	0.747971187	2.19130982	30000000
SRR8570465_HEK293T	59346587	16680264	0.281065262	1.798532685	30000000
SRR8570463_HEK293T	70686222	19686651	0.278507614	1.523875239	30000000
SRR8570464_HEK293T	84384885	21217672	0.251439248	1.413915721	30000000
SRR8570461_HEK293T	79983142	21528624	0.26916452	1.393493611	30000000
SRR8570462_HEK293T	71671854	24427880	0.34082947	1.228104936	30000000
SRR8910095_HEK293T_HEK293T	76465353	24732986	0.323453499	1.212955039	30000000
SRR8910094_HEK293T_HEK293T	72980482	25522654	0.349718902	1.175426349	30000000
SRR8910098_HEK293T_HEK293T	80056013	26465697	0.330589746	1.133542789	30000000
SRR8096310_HEK293T_HEK293T	63648941	26497431	0.416305921	1.13218523	30000000
SRR8096283_HEK293T_HEK293T	81521190	27021226	0.331462605	1.110238299	30000000
SRR8910097_HEK293T_HEK293T	76465153	27094535	0.354338335	1.107234356	30000000
SRR8910099_HEK293T_HEK293T	84424034	27166883	0.321790866	1.104285685	30000000
SRR8910096_HEK293T_HEK293T	73147831	27752336	0.379400669	1.080990083	30000000
SRR8910093_HEK293T_HEK293T	79034638	28109644	0.355662336	1.067249375	30000000
SRR8910103_HEK293T_HEK293T	83103443	28129100	0.338482968	1.066511193	30000000
SRR8096302_HEK293T_HEK293T	75298814	28494343	0.37841689	1.052840559	30000000
SRR8096299_HEK293T_HEK293T	77561569	28725210	0.370353648	1.044378788	30000000
SRR8096312_HEK293T_HEK293T	66282309	28998777	0.437504025	1.034526387	30000000
1000004_RFR005_S5	39391588	29482180	0.748438474	1.01756383	30000000
SRR8096304_HEK293T_HEK293T	82138142	29819798	0.363044467	1.006043032	30000000
SRR8096308_HEK293T_HEK293T	74626180	31057944	0.416180273	0.965936444	30000000
SRR8096277_HEK293T_HEK293T	91342504	32173902	0.352233633	0.932432752	30000000
1000002_RFR003_S3	43615863	32198571	0.738230744	0.931718367	30000000
SRR8096298_HEK293T_HEK293T	74024365	32638934	0.440921499	0.919147666	30000000
SRR8910092_HEK293T_HEK293T	83076787	32662198	0.393156731	0.918492993	30000000
SRR8910101_HEK293T_HEK293T	92527059	32682859	0.353224877	0.917912353	30000000
SRR8096306_HEK293T_HEK293T	78383568	32749534	0.417811218	0.916043569	30000000
SRR8096275_HEK293T_HEK293T	96135960	33070888	0.344001225	0.907142258	30000000
SRR8096301_HEK293T_HEK293T	71650452	33856942	0.472529357	0.886081206	30000000
SRR8096300_HEK293T_HEK293T	72110357	34164559	0.473781582	0.878102949	30000000
SRR8096311_HEK293T_HEK293T	79394973	34291435	0.431909398	0.874854027	30000000
SRR8570460_HEK293T	90590385	34476502	0.380575731	0.870157883	30000000
SRR8096281_HEK293T_HEK293T	93208473	34645875	0.371703064	0.86590395	30000000
1000000_RFR001_S1	48855961	34666683	0.709569156	0.865384208	30000000
SRR8908997_HEK293T_HEK293T	128181472	35605272	0.277772376	0.842571853	30000000
SRR8910100_HEK293T_HEK293T	84686291	35958227	0.424605052	0.834301424	30000000
SRR8096297_HEK293T_HEK293T	70115855	36098995	0.514847819	0.831048067	30000000
SRR8908990_HEK293T_HEK293T	105705742	36946197	0.3495193	0.811991556	30000000
SRR8096307_HEK293T_HEK293T	83748449	37014072	0.441967254	0.810502557	30000000
SRR8096309_HEK293T_HEK293T	74425481	37169107	0.499413729	0.807121893	30000000
1000003_RFR004_S4	47657935	37243777	0.781481132	0.805503695	30000000
SRR8096318_HepG2_HepG2	78576225	37787072	0.480897014	0.793922323	30000000
SRR8096291_HEK293T_HEK293T	71936455	38870582	0.540346087	0.771791891	30000000
SRR8096284_HEK293T_HEK293T	72831249	39358660	0.540408966	0.762221072	30000000
1000001_RFR002_S2	52223449	39430941	0.755042835	0.760823841	30000000
SRR8910104_HEK293T_HEK293T	77869692	39579958	0.508284507	0.757959369	30000000
SRR8908987_HEK293T_HEK293T	120264019	39679967	0.32994047	0.756049016	30000000
SRR8909001_HEK293T_HEK293T	139419789	39788577	0.285386869	0.753985246	30000000
SRR8909013_HEK293T_HEK293T	158593144	40138755	0.253092624	0.747407337	30000000
SRR8096303_HEK293T_HEK293T	100105974	41026367	0.409829357	0.73123706	30000000
SRR8096276_HEK293T_HEK293T	98549935	41303526	0.419112666	0.726330241	30000000
SRR8096290_HEK293T_HEK293T	74519256	41421388	0.555848115	0.724263513	30000000
SRR8096271_HepG2_HepG2	91122647	42091609	0.461922589	0.712731129	30000000
SRR8832240_HEK293T_HEK293T	77608243	42209054	0.543873336	0.710747983	30000000
SRR8096289_HEK293T_HEK293T	77606353	42296550	0.545014015	0.709277707	30000000
SRR8096279_HEK293T_HEK293T	120398003	42397967	0.352148424	0.707581097	30000000
SRR8096322_HepG2_HepG2	84727180	42703884	0.50401635	0.702512212	30000000
SRR8908989_HEK293T_HEK293T	114071274	42871883	0.375834174	0.699759327	30000000
SRR8096316_HepG2_HepG2	77583560	42903404	0.552996073	0.699245216	30000000
SRR8096273_HEK293T_HEK293T	116731509	43623410	0.37370724	0.687704148	30000000
SRR8096278_HEK293T_HEK293T	98543176	43799123	0.444466322	0.684945221	30000000
SRR8910102_HEK293T_HEK293T	127111251	44011244	0.346241923	0.681643991	30000000
SRR8096314_HepG2_HepG2	77810857	44202241	0.568072923	0.678698621	30000000
SRR8096282_HEK293T_HEK293T	98599450	44425272	0.450563081	0.675291307	30000000
SRR8909020_HEK293T_HEK293T	139359904	44485198	0.319210883	0.674381622	30000000
SRR8096293_HEK293T_HEK293T	83497342	45082777	0.539930684	0.665442592	30000000
SRR8908976_HEK293T_HEK293T	126504846	45343223	0.35843072	0.66162037	30000000
SRR8096320_HepG2_HepG2	83575452	45344331	0.542555618	0.661604204	30000000
SRR8096274_HEK293T_HEK293T	106919545	45752690	0.427916991	0.655699151	30000000
SRR8096321_HepG2_HepG2	79795361	45940138	0.575724421	0.653023724	30000000
SRR8096319_HepG2_HepG2	82259825	46008058	0.559301676	0.652059689	30000000
SRR8096285_HEK293T_HEK293T	86484324	47180502	0.545538195	0.635855888	30000000
SRR8096280_HEK293T_HEK293T	112735526	47223715	0.418889384	0.635274036	30000000
1788284_H2_FNLS_BSD	58887332	47539532	0.807296415	0.631053751	30000000
SRR8096287_HEK293T_HEK293T	82494935	47796734	0.579389923	0.627657948	30000000
SRR8096270_HepG2_HepG2	94896424	47804967	0.503759415	0.627549853	30000000
SRR8096323_HepG2_HepG2	90356022	47898854	0.53011247	0.626319786	30000000
SRR8096315_HepG2_HepG2	84875471	48529435	0.571772203	0.618181522	30000000
SRR8909012_HEK293T_HEK293T	172777928	48882423	0.28292053	0.613717532	30000000
SRR8096295_HEK293T_HEK293T	88280839	49203147	0.557347977	0.609717098	30000000
SRR8096317_HepG2_HepG2	92689957	50076293	0.540255866	0.599085879	30000000
SRR8908996_HEK293T_HEK293T	172972304	50372814	0.291218957	0.595559343	30000000
SRR8096292_HEK293T_HEK293T	89312875	50903946	0.569950816	0.589345274	30000000
SRR8909005_HEK293T_HEK293T	192232429	51016603	0.265390201	0.588043857	30000000
1686607_H2_ABEmax_RNAseq	62303039	51672930	0.82938057	0.580574781	30000000
SRR8096294_HEK293T_HEK293T	87205780	52026024	0.596589171	0.576634494	30000000
SRR8096272_HEK293T_HEK293T	116610737	52490325	0.450132864	0.571533897	30000000
SRR8096286_HEK293T_HEK293T	92339652	52495386	0.568503182	0.571478796	30000000
SRR8909014_HEK293T_HEK293T	183255825	52589733	0.286974414	0.570453552	30000000
SRR8096324_HepG2_HepG2	98682122	55031154	0.557660829	0.545145755	30000000
1788283_H2_ABEmax	65753608	55307711	0.841135759	0.542419844	30000000
SRR8908999_HEK293T_HEK293T	181789113	55316667	0.304290318	0.542332024	30000000
SRR8908980_HEK293T_HEK293T	195666256	56702772	0.28979331	0.529074663	30000000
SRR8908984_HEK293T_HEK293T	181374243	57034138	0.314455554	0.526000761	30000000
SRR8096288_HEK293T_HEK293T	105994779	59377152	0.560189403	0.505244846	30000000
SRR8909002_HEK293T_HEK293T	236054409	60628864	0.256842752	0.494813823	30000000
SRR8909006_HEK293T_HEK293T	233860116	60688887	0.259509351	0.494324439	30000000
SRR8908985_HEK293T_HEK293T	215499461	61337741	0.284630601	0.489095286	30000000
SRR8096305_HEK293T_HEK293T	118296770	62072454	0.52471808	0.48330617	30000000
1686606_H2_FNLS_BSD_RNAseq	100566714	63677182	0.633183481	0.471126376	30000000
SRR8832239_HepG2_HepG2	84376234	65488074	0.7761436	0.458098676	30000000
SRR8096313_HepG2_HepG2	110491109	65967038	0.597034808	0.454772579	30000000
SRR8908982_HEK293T_HEK293T	226922699	67567035	0.297753531	0.4440035	30000000
SRR8908988_HEK293T_HEK293T	210787895	67831634	0.321800424	0.442271522	30000000
SRR8908978_HEK293T_HEK293T	174196129	68036039	0.390571475	0.440942777	30000000
SRR8908994_HEK293T_HEK293T	207383778	68179131	0.328758265	0.440017342	30000000
SRR8909018_HEK293T_HEK293T	245168722	71376872	0.291133679	0.420304213	30000000
SRR8908995_HEK293T_HEK293T	240912368	71780648	0.297953354	0.417939944	30000000
SRR8909017_HEK293T_HEK293T	257566539	72668858	0.282136252	0.412831587	30000000
SRR8908992_HEK293T_HEK293T	206276480	73352831	0.355604434	0.40898217	30000000
SRR8908983_HEK293T_HEK293T	258374346	74421427	0.288037215	0.403109712	30000000
SRR8909000_HEK293T_HEK293T	265517938	76287722	0.287316641	0.393248077	30000000
SRR8909016_HEK293T_HEK293T	287887164	77875702	0.270507726	0.385229272	30000000
SRR8908979_HEK293T_HEK293T	230232538	79595516	0.345717928	0.376905654	30000000
SRR8908981_HEK293T_HEK293T	275299884	79954511	0.290426969	0.375213351	30000000
SRR8909007_HEK293T_HEK293T	304749420	79981220	0.26244913	0.375088052	30000000
SRR8909003_HEK293T_HEK293T	308306050	81454243	0.264199301	0.368304939	30000000
SRR8908991_HEK293T_HEK293T	232835878	84384539	0.362420688	0.355515363	30000000
SRR8909004_HEK293T_HEK293T	297157084	84557107	0.284553563	0.354789811	30000000
SRR8909008_HEK293T_HEK293T	300578110	86956028	0.289295944	0.345001959	30000000
SRR8908993_HEK293T_HEK293T	236193193	87131465	0.368899137	0.344307306	30000000
SRR8908974_HEK293T_HEK293T	251932064	88379841	0.350808228	0.339443924	30000000
SRR8908977_HEK293T_HEK293T	246364776	96288716	0.390837999	0.311562987	30000000
SRR8909019_HEK293T_HEK293T	332838486	100240227	0.301167777	0.299281046	30000000
SRR8909011_HEK293T_HEK293T	395922915	101009517	0.2551242	0.297001717	30000000
SRR8909015_HEK293T_HEK293T	247461926	101431150	0.409885883	0.295767129	30000000
SRR8908975_HEK293T_HEK293T	325564242	104067455	0.319652596	0.288274562	30000000
SRR8908986_HEK293T_HEK293T	378395833	105301203	0.278283199	0.28489703	30000000
SRR8909010_HEK293T_HEK293T	525190459	140845441	0.26817974	0.21299944	30000000
SRR8908998_HEK293T_HEK293T	663779679	189881354	0.286060812	0.157993396	30000000
SRR8909021_HEK293T_HEK293T	423200074	191768402	0.453138867	0.156438703	30000000
SRR8909009_HEK293T_HEK293T	494171310	215860468	0.436813031	0.138978667	30000000
